,country_code,organization_name,region,income_group,year,total_gdp,total_gdp_million,gdp_variation
62,AFE,,Sin region,Agregados,1960,21290811193.8164,21290.8111938164,0.0
63,AFE,,Sin region,Agregados,1961,21808704493.2553,21808.7044932553,0.237304296005121
64,AFE,,Sin region,Agregados,1962,23707266143.4721,23707.266143472098,7.98446046472907
65,AFE,,Sin region,Agregados,1963,28210335256.1952,28210.3352561952,5.16387335113851
66,AFE,,Sin region,Agregados,1964,26119063726.3905,26119.063726390497,4.58367684527478
67,AFE,,Sin region,Agregados,1965,29682486700.3738,29682.4867003738,5.32804421525157
68,AFE,,Sin region,Agregados,1966,32239462540.9567,32239.462540956698,3.91390855239683
69,AFE,,Sin region,Agregados,1967,33514906531.5053,33514.9065315053,5.25530876450813
70,AFE,,Sin region,Agregados,1968,36521869225.3694,36521.8692253694,4.02630212024955
71,AFE,,Sin region,Agregados,1969,41828778631.7557,41828.7786317557,5.27836619834736
72,AFE,,Sin region,Agregados,1970,44863079905.4656,44863.0799054656,4.69369864842318
73,AFE,,Sin region,Agregados,1971,49479440037.6989,49479.4400376989,5.37500487722077
74,AFE,,Sin region,Agregados,1972,53515410561.422,53515.410561421995,2.15418892877175
75,AFE,,Sin region,Agregados,1973,69601524279.5365,69601.5242795365,4.4455362498766
76,AFE,,Sin region,Agregados,1974,86058687785.665,86058.687785665,5.88955613588695
77,AFE,,Sin region,Agregados,1975,91650122061.7007,91650.1220617007,1.7360267223943
78,AFE,,Sin region,Agregados,1976,91125515752.0365,91125.5157520365,2.85202185179054
79,AFE,,Sin region,Agregados,1977,103416937913.423,103416.93791342301,1.24338322798587
80,AFE,,Sin region,Agregados,1978,115346261836.344,115346.261836344,1.0447363992574
81,AFE,,Sin region,Agregados,1979,134672829146.699,134672.82914669902,2.80214602485438
82,AFE,,Sin region,Agregados,1980,170656140911.193,170656.14091119298,5.41532435138623
83,AFE,,Sin region,Agregados,1981,174388852462.791,174388.852462791,4.32969424692348
84,AFE,,Sin region,Agregados,1982,167268082239.884,167268.082239884,0.516705286488261
85,AFE,,Sin region,Agregados,1983,174919895798.047,174919.895798047,0.162079464428899
86,AFE,,Sin region,Agregados,1984,160135659993.827,160135.659993827,3.01429960620121
87,AFE,,Sin region,Agregados,1985,136298779649.414,136298.779649414,-0.443352304198314
88,AFE,,Sin region,Agregados,1986,152519907872.898,152519.907872898,2.29398928163842
89,AFE,,Sin region,Agregados,1987,186146618477.894,186146.61847789402,4.24385127974784
90,AFE,,Sin region,Agregados,1988,204142003747.68,204142.00374768,4.01447483273398
91,AFE,,Sin region,Agregados,1989,217540893078.77,217540.89307877,2.90991752788356
92,AFE,,Sin region,Agregados,1990,253226719450.555,253226.71945055499,-0.0326301465164249
93,AFE,,Sin region,Agregados,1991,273405697195.302,273405.697195302,0.11402982036077
94,AFE,,Sin region,Agregados,1992,238257961319.909,238257.961319909,-1.96381805944742
95,AFE,,Sin region,Agregados,1993,236529420848.741,236529.420848741,-0.387732938800426
96,AFE,,Sin region,Agregados,1994,240122633179.398,240122.63317939802,2.02448777964979
97,AFE,,Sin region,Agregados,1995,269639706340.127,269639.70634012704,4.29865237859181
98,AFE,,Sin region,Agregados,1996,268416528915.098,268416.528915098,5.43404299422046
